commit_hash,author,date,message,files_changed,lines_added,lines_deleted
6a3a046f55755f0691568431e68a8bfea8d89df0,Armin Ronacher,2010-04-11 01:53:38+00:00,Another doc improvement,1,5,1
0b8e01b4450d0ba8cb65751d866568fddc155fa4,Armin Ronacher,2010-04-11 02:00:17+00:00,Linked escape,1,3,0
03168a5d53457fdb8676a4ac9fca0f76a23c6852,Armin Ronacher,2010-04-11 15:58:45+00:00,Removed the useless apishowcase example,7,30,89
f2dc38cda61f76c64b97ab9f730accc986a4b188,Armin Ronacher,2010-04-11 16:45:06+00:00,Added tests for minitwit.  Testing with Flask is awesome,4,153,4
ef524f2cfd65377b3b9ce896e7a710472b13c0f6,Armin Ronacher,2010-04-11 16:47:32+00:00,No need for the closing import,1,0,1
03148dba6b26a2694da1d466584f50189c52e7b3,Armin Ronacher,2010-04-11 17:18:40+00:00,Added testing documentation,3,41,12
2f5a4f8dbc832b0daebcd66ea8b3969589191fa7,Armin Ronacher,2010-04-11 22:14:59+00:00,Doc updates and typo fixes,4,127,11
51c9829a9cdfa2bf301431f686d7a404cc7c5083,moraes,2010-04-12 00:15:35+00:00,Fixed couple of errors in docs.,3,4,4
36071ca1f42a26ef327e9d14e4909a8c92cd4fae,Justin Quick,2010-04-12 14:55:48+00:00,added in example tornado and gevent usage for flask integration,1,39,0
a01e8b49ca66608f0bd46134ff02deeb5724c799,Armin Ronacher,2010-04-12 17:52:18+00:00,Fixed a documentation error and implemented template context processors.,1,28,4
de03143f6ecf9a36dd32f16f07309c64d4de03b0,Armin Ronacher,2010-04-12 18:19:16+00:00,Added some basic tests for flask itself,1,74,0
4affedec356ad8c9e6a107578f03fc7f5c615064,Armin Ronacher,2010-04-12 18:39:52+00:00,Testing URL generation,1,8,0
959b5df00431c436474c5abca304e631c0de7721,Armin Ronacher,2010-04-12 23:08:52+00:00,Flask can depend on Jinja2 and Werkzeug now that they are relased.,1,2,3
a42728568e18bedf588be2357b56021ab85b9fad,Armin Ronacher,2010-04-12 23:42:31+00:00,Improved Flask README regarding Jinja2 and Werkzeug,1,4,4
8009bd986940378bba1399dbfce90d03e441467b,Armin Ronacher,2010-04-14 00:17:55+00:00,Fixed the mod_wsgi docs. Thanks Graham,1,1,1
08f1f0dc32004fae01cf96d1eed84e6461e698e5,Armin Ronacher,2010-04-14 00:42:12+00:00,Added more Flask tests,5,197,82
ca520fb7e4c29afccc637e61c11429a0f3e8d5ad,Armin Ronacher,2010-04-14 12:11:00+00:00,"Static files are active in the WSGI app now, not just the server.",3,15,5
2d9bb692728fd76b19e467499caa4f5fcb07aede,Armin Ronacher,2010-04-14 13:16:38+00:00,Flask now runs without the presence of pkg_resources as well.,1,24,3
c33675f0251071ea47ce166b81ce8c637842f091,Armin Ronacher,2010-04-14 14:44:29+00:00,"Added mini blogging application as Flask example.

This should become the tutorial.",7,241,0
fc94599285aa1aec50b3c9426697249e55edda0a,Armin Ronacher,2010-04-14 14:47:53+00:00,Removed useless imports and added README,2,26,2
1d8432ebfd1637eacab79a15e9b7963bf061371c,Armin Ronacher,2010-04-14 15:08:38+00:00,Can't believe I forgot that future import.,1,1,0
c4f5c2fb9afc1679c085500830bd53fab93ad885,Armin Ronacher,2010-04-14 15:09:34+00:00,Fixed a typo,1,1,1
1246f4088a4fdc00a79f8029ff5d77bfe4fc9b14,Armin Ronacher,2010-04-15 00:21:46+00:00,First part of the tutorial.  Many explanations missing but it's a start.,9,394,14
6dd92ae4b32c336564231e10db12458a8b9261ca,Armin Ronacher,2010-04-16 00:03:45+00:00,Beefed up the tutorial,7,306,92
40e0024d7b87150ed694829a5335bd2435962225,Armin Ronacher,2010-04-16 00:14:54+00:00,"Added screenshot of the debugger to Flask docs.  Flask now runs from the
shell again.",3,16,2
7b5015010bc8c2a2d56c7c50b37e5b9facdad102,Armin Ronacher,2010-04-16 00:27:37+00:00,"Preserve the request context in debug mode.

This makes it possible to access request information in the interactive
debugger.  Closes #8.",1,11,7
fb2d2e446bdd806ea3de7b869c7371e2dae57a23,Armin Ronacher,2010-04-16 09:03:16+00:00,"request_init -> before_request and request_shutdown -> after_request

This fixes #9.",6,30,29
26f86b1d4954dd7512684130ee803b42eca8d72e,Armin Ronacher,2010-04-16 10:21:31+00:00,Restructured documentation a bit.,2,213,8
b608785801ce819037cb6cca04c70fd398519c08,Armin Ronacher,2010-04-16 10:23:46+00:00,Recentered README,1,3,3
61d07b8be9beae54d1c367adfc845dcf30a1512a,Armin Ronacher,2010-04-16 10:29:52+00:00,Added note about decorators to becomingbig.,1,4,1
f54c4fd04f326d94684c7fcbf12df5cecae653c4,Armin Ronacher,2010-04-16 11:15:44+00:00,Fixed wording for circular imports,1,1,1
6418551efb1d24320c261b1e24c186d5394e6dcf,Armin Ronacher,2010-04-16 11:29:01+00:00,More typo fixes,2,5,4
7c9303b7502403c372171e1e045433b57259a56b,Armin Ronacher,2010-04-16 11:31:48+00:00,More typo fixes,1,2,2
6d556acb3fcaa6eeff4bda8cf704ad5f0cf5b5ac,Armin Ronacher,2010-04-16 11:42:47+00:00,"added coming soon to parts of the docs, linked scoped_session",2,16,2
5348eff4457a528cd605bbbd5e0152c282819962,Armin Ronacher,2010-04-16 11:45:52+00:00,fixed headers,1,2,2
855e7e9327c0095f39b34bd56b08aa63c87f9dfd,Armin Ronacher,2010-04-16 12:12:31+00:00,Added license file,1,31,0
f769e15fecf6e06c190133d85a3de6b703e4d1a1,Armin Ronacher,2010-04-16 12:17:24+00:00,Added website sources,2,56,0
aae5de730113e843864c120cc0453efc0a90b49f,Armin Ronacher,2010-04-16 12:20:02+00:00,-x on files,2,0,0
0bb8b4f9a1c61fcf473e5ca7a10cc3ed4f30766f,Armin Ronacher,2010-04-16 12:24:12+00:00,Beefed up setup.py,1,50,0
8605cc310d260c3b08160881b09da26c2cc95f8d,Armin Ronacher,2010-04-16 12:25:24+00:00,ignore dist folder,1,1,0
9fbf9a062c11904b5022a5aa7941449e31340c32,Armin Ronacher,2010-04-16 12:32:59+00:00,head is 0.2-dev,1,1,1
791cdb28f593d4d7649d88407fcd193834512219,Armin Ronacher,2010-04-16 12:33:12+00:00,Fixed capitalization on website,1,2,2
5310fc38227b1907cb541f4a30ea8dfef46c2e19,Armin Ronacher,2010-04-17 12:10:47+00:00,"Session falls back to a dummy object now if secret_key is missing.

This makes it possible to still read-only access the empty session but
requires the secret key to be set for write access.  The error message
raised explains that.  This closes #10.",2,34,3
b9cae3564ad31876d977c24a09d760e77ca992f3,Armin Ronacher,2010-04-17 12:24:12+00:00,Reordered deployment docs,1,127,126
74862dcbca052ea0a994da3f507c00e9cc18821c,Armin Ronacher,2010-04-17 12:30:28+00:00,Added makefile target for website and doc updating.,1,6,0
0b9c2b5eb1b604cd76d9252e8e9628df731ea572,Armin Ronacher,2010-04-17 12:32:52+00:00,removed refactoring leftover,1,0,1
fe6c279df12294e590e87705b0ba8728a3ed54c4,Armin Ronacher,2010-04-17 16:14:42+00:00,Synched tagline :),1,1,2
325dfa2469f86e03187b6d9e6aee4745b702c496,Armin Ronacher,2010-04-17 18:52:37+00:00,Larger fonts in the docs,3,40,16
b4cd70d054a1514adaed893663cfa22b73114d1e,Armin Ronacher,2010-04-18 01:07:08+00:00,Updated website,3,47,0
42dd94b7565052120423dbd86a5ab0f96938f8cc,Armin Ronacher,2010-04-18 01:08:16+00:00,Fixed title.,1,1,1
bcf347fe8db124242da30b97c7e570f28c273d26,Armin Ronacher,2010-04-18 11:15:00+00:00,New style for the documentation.  Looks more like the website now.,15,601,569
88ea383394b47278779031b47de23fbd5ba89dbe,Armin Ronacher,2010-04-18 11:17:21+00:00,Less flashy color for highlights.,1,4,0
fdf4d79bdc3a5872e99b4e9c9bc0e29cfd195cb4,Armin Ronacher,2010-04-18 11:19:57+00:00,Normalized line heights.,2,3,2
764b4e4f7dbe48366d7f01d8bd0c56f4e76b79ee,Armin Ronacher,2010-04-18 11:29:21+00:00,dirhtml > html for websites,1,1,1
123a1ad019a842a07a84aace66fd7a33f6f68cb9,Armin Ronacher,2010-04-18 11:35:40+00:00,Breaking docs up into smaller pieces,8,443,445
42a46ed09b745c0560de354c0cb236295000f296,Armin Ronacher,2010-04-18 11:58:48+00:00,Fixed homepage links,1,4,4
63593d281b7358a86a808cc0bf5e47107316403d,Armin Ronacher,2010-04-18 12:39:27+00:00,removed unused import,1,0,1
ab5492418694b5cc14601a953084d61f47785ea4,Armin Ronacher,2010-04-18 12:56:08+00:00,Fixed a font name.,1,2,2
190059c8f01c6f75243824e765d08a7cce386eda,Armin Ronacher,2010-04-18 13:44:06+00:00,Added support for macro pulling and documented certain design decisions.,6,187,1
bf52a17902cdbc300ee91ec1b2e8d2b7890ba35c,Armin Ronacher,2010-04-18 14:29:41+00:00,Removed useless code,2,0,2
13090389365184fc2291e2cc69fb9b2af5426585,Armin Ronacher,2010-04-18 15:32:23+00:00,updated README,1,5,3
94cf620914615b991063f00314ea1c8da9790c99,Armin Ronacher,2010-04-18 16:29:55+00:00,Updated SQLAlchemy docs.,1,92,2
100776147a063dcf53f74678b045ac0f5d6386d4,Armin Ronacher,2010-04-18 16:40:52+00:00,Added troubleshooting section to the tutorial,1,6,0
3491465d55f093a498f2f496cd33bebba137518c,Armin Ronacher,2010-04-18 18:43:18+00:00,No sudo for windows users.,1,2,1
0770f5c6375e3e45fa3ac918217df5d885176173,Armin Ronacher,2010-04-18 21:37:03+00:00,Removed two unused imports.,1,2,3
73a47a0db1a181bb305684115d3dacded0c5a58b,Armin Ronacher,2010-04-18 21:42:11+00:00,Removed unused stuff from minitwit and fixed a bug.,1,1,3
ce18d4575dd8468878668d777d83448eeae4fd0d,Armin Ronacher,2010-04-19 00:22:59+00:00,Added WTForms documentation.,6,115,10
976e792336fa6c4696f534ac1d537d2a86a75e72,Armin Ronacher,2010-04-19 00:24:02+00:00,Added links for SQLAlchemy and WTForms.,2,8,0
56675b3bade603a458d01443bda8070ca0489005,Armin Ronacher,2010-04-19 00:25:31+00:00,Fixed indentation of an example.,1,6,8
166f5ed254d829b2d87fca241e1a22b0a64fff1c,Armin Ronacher,2010-04-19 00:28:05+00:00,Forgot to link the website.,1,2,1
84899948be190a5e180fdccb25e6d7a8498fee7c,Armin Ronacher,2010-04-19 00:45:44+00:00,Corrected order of the tutorial,1,1,1
a50a87c4ca7f44821e9561ae6b69300b8809c46c,Armin Ronacher,2010-04-19 08:37:10+00:00,ScriptName -> ScriptAlias,1,1,1
c64a4e0befc0718500c544f5c847d6632b8fb598,Armin Ronacher,2010-04-19 09:23:44+00:00,Break up deployment docs into separate documents.,7,318,308
6e2be6a0b3aba4ab49cf3ed1a10ac13c6b771aba,Armin Ronacher,2010-04-19 13:39:07+00:00,Added JSON Support and started working on jQuery docs,7,254,9
a99e408bd109783561d408ef34c286cdd9b51845,Armin Ronacher,2010-04-19 13:59:16+00:00,Finished jQuery example documentation.,3,119,13
f878919753a909e45b2d5448aa175f4f9129ff24,Armin Ronacher,2010-04-19 14:01:14+00:00,With -> with in headline,1,1,1
3d320176813e87b8dccbbbc807133dfe6ce0bcde,Armin Ronacher,2010-04-19 15:03:08+00:00,Added instructions about how to run the latest development version.,1,38,0
07e515b071e32e1b22e9992cedabeb082a8cde6c,Armin Ronacher,2010-04-19 15:05:24+00:00,Leaving -> living ....,1,2,2
ade490514dd6d83adc7610f69f9c4cd68df47110,Armin Ronacher,2010-04-19 16:51:04+00:00,"Fixed a security problem caused by changed simplejson semantics.

Notice: this was never in a release version of Flask.",4,16,2
36f105c2932af842de5d18899783f33078415c7f,Armin Ronacher,2010-04-19 16:56:12+00:00,Removed possible bashism. source -> .,1,7,3
3088a9371e065808fd0091741f62bc242bcab1f9,unknown,2010-04-19 16:29:56+00:00,"Make it easier to associate a rule, endpoint and view_function
This resolves http://github.com/mitsuhiko/flask/issues/issue/11",2,33,3
5acc491c94262912baa30a4cffc780a46b7faf56,cgrinds,2010-04-19 17:11:58+00:00,"Refactored the @route decorator to use the new add_url_rule method.
Tagged add_url_rule with versionadded of 0.2",1,3,2
95750b3287bfa21fbb706f10a3a9fbcef01c089e,Armin Ronacher,2010-04-19 21:49:02+00:00,Documented some routing converter possibilities.,3,36,6
06ec917ddedc618944670b39ccd5f4cb862882b2,Armin Ronacher,2010-04-19 21:54:38+00:00,"Only escape backslashes if they follow ""<"" in JSON dumping for
templates.",1,1,1
50a331307114a641d1d9447453f8fddc52fe680f,Armin Ronacher,2010-04-19 23:35:22+00:00,Fixed typo in form docs,1,1,1
4ff9493e5765f3d2c2fd2dd1882791a75ad6fc68,Armin Ronacher,2010-04-19 23:37:51+00:00,POST -> post in HTML,1,1,1
a7ff9dbddd5f861463051601177442e98aae84bf,Chris Edgemon,2010-04-20 04:25:51+00:00,Proofreading the documentation,8,58,58
9f0b2429d638e54cb534b555c393d0770dfc1a8f,Armin Ronacher,2010-04-20 08:51:36+00:00,"The testsuite skips JSON tests now is not available and runs the example
tests as well.",1,22,1
1404a85bc554f96bff5463e6eadb14662b945f2e,Armin Ronacher,2010-04-20 09:22:20+00:00,Fixed WTForms example.,1,3,3
715f64d2afef0e5b9800f0e0fb0eb9c892e1573a,Armin Ronacher,2010-04-20 11:01:10+00:00,Some more documentation updates.,2,32,12
3a1e51865786474c44a04c0d422515047dd27223,Armin Ronacher,2010-04-20 11:29:54+00:00,Fixed typo and added AUTHORS file and license text to docs.,5,47,11
268302fc68c35abd555a8c2d2755f14c96e1401d,Armin Ronacher,2010-04-20 12:22:34+00:00,Changed link to license.,1,1,1
9f6bc93e4de36fc209eb1203845e9505df1ca379,Armin Ronacher,2010-04-20 13:12:16+00:00,"Fixed XSS problem by escaping all slashes in JSON.

This also probes simplejson first to figure out if it escapes slashes
which it did in earlier versions.",2,13,1
3c821a0fa45082bcec73dfb08662fb1de5263c48,florentx,2010-04-20 16:40:58+00:00,Fix typos and remove unused import.,6,15,14
75057bb4112d16acc7ed5dafce6a8168b343fd78,florentx,2010-04-20 16:44:54+00:00,Slightly faster _tojson_filter.,1,9,10
eae44e465b4bdd9440dbfa6e0c5bc45fd2c60ed8,florentx,2010-04-20 16:48:49+00:00,Typo in README,1,2,2
af3b73f70d5fce72181530d384519ae31d77c772,Armin Ronacher,2010-04-20 17:03:18+00:00,Tiny refactoring,1,5,9
3053fcdb0d6189ad1deca6fcfa16443dad4baf8c,Armin Ronacher,2010-04-20 18:01:00+00:00,"Make the example tests pass on Windows.

Also updated the documentation regarding that.",3,37,17
f6b9efc1e9b94382b877c0d1ebe87956b78d012f,Armin Ronacher,2010-04-20 18:03:03+00:00,Added missing os import.,1,2,1
260b4dfe61cd35373eb4993453b500e1db71a753,Armin Ronacher,2010-04-20 18:21:01+00:00,"Added changelog, restructured docs a bit.",3,35,4
00f87f679cdd63b642675d86d073882fb8b19430,Armin Ronacher,2010-04-20 19:44:52+00:00,flask uses 127.0.0.1 as host by default now. stupid chrome.,2,3,16
9cf2ea2abc5243d50c87612714904c6cb033f7cc,Armin Ronacher,2010-04-20 19:45:36+00:00,Documented hostname change.,1,1,0
5876a8fd96efa01958904ca0796eb4018222bf25,cgrinds,2010-04-20 18:33:32+00:00,Merge more upstream changes,1,14,18
9d340ad7477774a19a7bdffc83d6cb8cb3e05edc,florentx,2010-04-20 20:46:36+00:00,"Fix a doc oversight, and revert 5876a8fd.",2,3,2
c0d3b6c3710025abb482b30d2f2b6e39a6934fa9,florentx,2010-04-20 20:53:38+00:00,Merge.,0,0,0
7cf5a9bf6e34fc57f82e560f01c408fbe603e9d4,florentx,2010-04-20 22:40:43+00:00,"Use a tuple to store _flashes, and simplify the flask.Request class.",1,3,7
b6e73305392c9de052e51cca6fae8fee12ae231e,florentx,2010-04-20 23:23:09+00:00,Use setdefault() because it sets session.modified correctly.,2,14,2
f014ce29a7cd5a3ccfabd61e7d66e017ed958e25,florentx,2010-04-20 20:46:36+00:00,"Fix a doc oversight, and revert 5876a8fd.",2,3,2
3eacc1d06816b2544e0242665fe909b24b027b21,florentx,2010-04-20 22:40:43+00:00,"Use a tuple to store _flashes, and simplify the flask.Request class.",1,3,7
dbe0df756bf587b242f2406bef9e7e8ef26f0813,florentx,2010-04-20 23:23:09+00:00,Use setdefault() because it sets session.modified correctly.,2,14,2
7e8019565f79e157fcc13cf285247070d69ef889,Armin Ronacher,2010-04-21 08:37:05+00:00,Added florentx to the AUTHORS file,1,1,0
d73be4b709ab881ae15b9bd1064b16820f98a51b,Armin Ronacher,2010-04-21 15:57:25+00:00,Merge branch 'florentx-fork',0,18,14
3261357ba7f59e2eabeb96127b6253d1466b4db0,Armin Ronacher,2010-04-21 16:39:25+00:00,Removed website from main branch.  Makes no sense to be there,6,0,131
1cb75df8f1f9e7a768254fe2c9e2997f21152665,Armin Ronacher,2010-04-21 16:39:51+00:00,Add leftovers from website branch to gitignore,1,1,0
ebb07a06567d72acf47b3ee5553053216f978305,Armin Ronacher,2010-04-21 19:10:57+00:00,Better English.,1,1,1
be15340e0f65e8785aff3033f0b2732ae31c6b81,Armin Ronacher,2010-04-21 19:47:45+00:00,Added mailinglist link to the README,1,5,0
dc3f13df54ba91649ecec2bdee6c24ca31a400a8,Armin Ronacher,2010-04-23 10:17:12+00:00,Corrected validator usage in the wtforms docs.,1,5,3
88f671aaaef334caf3231095b119cac094ff5ffb,Armin Ronacher,2010-04-23 14:04:54+00:00,Another try for #12,1,42,0
a862ead5f22f9d4592c1c85bda285a4ded59b631,Armin Ronacher,2010-04-23 14:30:04+00:00,Warn on None responses.,2,20,1
444e6425312a16589130ff36f2830b6f97fbbd4f,Armin Ronacher,2010-04-23 14:44:49+00:00,extended URL generation,1,24,16
e0148a00c0f468784052926f80e8112be7686470,Armin Ronacher,2010-04-23 15:01:20+00:00,"Basic module support is working, but does not look very nice.",2,66,14
5c52fe980eda6065edcc39e6dd346636b1c40768,Armin Ronacher,2010-04-23 15:10:22+00:00,Added request/response processing based on modules.,2,44,6
2f181e19496a1fe693d9b20260fe961bb406c53b,Armin Ronacher,2010-04-23 15:16:59+00:00,Removed unused package_name attribute,1,1,2
67f4b0f31538832f06b9351d15e30c85f449ac7e,Armin Ronacher,2010-04-24 15:07:16+00:00,"Modules are now instanciated with the package name.

This makes it possible to load resources from the folder the module is
located in.",2,96,73
c0a9f5d0c4f09dbe8b744609552cbbfa9f14fbc0,Armin Ronacher,2010-04-24 15:35:25+00:00,Documentation update for the flask module support.,2,87,6
ef34638f5d24c07a5582cbb60755fd4dfbec9a79,Armin Ronacher,2010-04-24 15:46:06+00:00,"Updated docs for external server information.

This fixes #14.",2,22,9
5144d3b65a564c148e6ea12969303f58d137449b,Armin Ronacher,2010-04-24 15:47:24+00:00,Merge branch 'master' into module-support,0,42,10
0da39c76e3c67293aef2234b43aff8728d9002eb,Armin Ronacher,2010-04-24 16:30:38+00:00,More documentation updates :),2,129,0
0c54d0a0e5dfec25cd60329e09622d42905d0969,Armin Ronacher,2010-04-24 18:36:06+00:00,Added pattern for file uploads.,1,1,0
c21caa5047f966aa5f6a3d0e5e4611abd44ae861,Armin Ronacher,2010-04-24 18:38:50+00:00,Merge branch 'master' into module-support,0,1,0
85d43079d137c3f15e3ed7a9545ba2db92718194,Armin Ronacher,2010-04-25 01:46:42+00:00,Added missing file (fileupload docs),1,158,0
58fa088abc0f0e511d934e822f917b796d418bb3,Armin Ronacher,2010-04-25 01:46:42+00:00,Added missing file (fileupload docs),1,158,0
a9bb965b6dcd931cefdc7dd05fa4c672b5dff69c,Sebastien Estienne,2010-04-24 19:44:11+00:00,add a decorator to add custom template filter,2,48,0
5c9ef2c44dce5afc99a0b3b539ebaafe9b8ce3c5,Sebastien Estienne,2010-04-25 09:39:19+00:00,the template_filter now expects the parentheses,2,4,17
4395e9493cc33d49b53889f9f726458f05f1a475,Sebastien Estienne,2010-04-25 12:44:24+00:00,add tests for template_filter using a real template,2,24,0
36e24299e35cd0c6a593d9eea3130a7737a15eea,Armin Ronacher,2010-04-25 12:54:33+00:00,Merge branch 'master' into module-support,0,59,0
3ac4ec670c881668aaedb2c3937bae5e10984988,Armin Ronacher,2010-04-25 15:05:25+00:00,Beefed up PDF docs.  They actually look like something now.,6,130,60
d22428bc8e8c3cf5e6006497cb8164decde31924,Armin Ronacher,2010-04-25 15:08:44+00:00,Updated Makefile to also upload and build pdf docs.,1,4,1
606b006e2391d12fec5313ce606d82463d7aad07,Armin Ronacher,2010-04-25 15:25:16+00:00,Fixed at least one build warning by renaming files.,4,5,3
f419937d2c5f2db16a8157a0a061b92c38876649,Armin Ronacher,2010-04-25 15:33:56+00:00,License after API docs,1,11,11
41de12984495198423cbce73ac059ccee0fbfd30,Armin Ronacher,2010-04-25 15:34:31+00:00,Merge branch 'master' into module-support,0,136,61
4559e4f0f14272fb4fb31f3bf79bf592a9f781df,Armin Ronacher,2010-04-25 16:55:01+00:00,Added docs on caching and decorators.,3,164,0
13933eeaf8b6c7685aaf1c769efe97763d64ea0d,Armin Ronacher,2010-04-25 18:31:22+00:00,Merge branch 'master' into module-support,0,164,0
2ba88eefb54f76fc974181babac07ffc7c1f7e73,unknown,2010-04-26 01:51:02+00:00,Fixed simple typo,1,1,1
36717b02731ad7d86ba8effbe27e70405e48cd9b,Armin Ronacher,2010-04-27 12:32:09+00:00,Added support for long running sessions.  This closes #16.,4,62,5
31493850de3d7765d09419aa49b98089f79da3c2,Armin Ronacher,2010-05-02 09:32:14+00:00,Fixed typo in flask quickstart docs. This fixes #21,1,1,1
f1603d33f266ab24eda604f76632fa604b91e3f9,Armin Ronacher,2010-05-02 09:36:42+00:00,Docs mention query args now.  This fixes #20,2,10,1
a9284afde97c30d136e8ec675794c7cdcf4ca277,Armin Ronacher,2010-05-02 09:38:40+00:00,Fixed typo in tutorial.  This fixes #19,1,4,5
8d49440d8b881b2df2c10085a58d3a4e4085147e,Armin Ronacher,2010-05-02 09:45:40+00:00,Added example for context bound objects to the testing docs.  This fixes #18,1,19,0
a7266ffb90d109f94da96e9eea5f5bb4ff8ddc71,Armin Ronacher,2010-05-02 10:08:17+00:00,Added @templated decorator to the patterns.,1,49,0
eeb0e949518720ff5302bcf336fc72dea44737d0,Armin Ronacher,2010-05-02 10:09:31+00:00,Fixed merging confict,0,147,13
7e1db5978c3c7aedcb43d7e2036edc85b0a22a6b,Armin Ronacher,2010-05-02 10:11:04+00:00,Added module support to templated decorator.,1,6,5
75461c1467bbb2d83ee787bb13f4a338a4b8ad3e,Armin Ronacher,2010-05-02 17:10:44+00:00,Added _external support to url_for,3,7,1
36f659b82b9079ec8492c1b52a0c0b058ebdf2eb,Armin Ronacher,2010-05-02 17:12:00+00:00,"Merge branch 'master' into module-support

Conflicts:
	flask.py",0,6,1
d0eefb01d16bd058172363a9847b5d98ccd1abc9,Armin Ronacher,2010-05-03 10:22:27+00:00,Added link to snippets website to the patterns docs.,1,3,0
9248a7baca5bc616a60f9b63b525e872fbfddef2,Armin Ronacher,2010-05-03 11:07:30+00:00,None responses fail properly now.  This fixes #24,1,1,4
ce53d10236279e4798365d991ab4ff838cb16d36,Armin Ronacher,2010-05-03 11:08:00+00:00,Merge branch 'master' into module-support,0,4,4
dffb3d091c0e42b7254fe88218811c24c0054f7e,Armin Ronacher,2010-05-03 12:39:16+00:00,Removed useless import and adapted tests,2,3,4
f345af8d9d33e6164747c865c29a72186a470c22,Armin Ronacher,2010-05-03 17:58:07+00:00,Use unicode in SQLAlchemy pattern.,1,3,3
9da5795d79196e13d802915509180118809042a7,Armin Ronacher,2010-05-03 18:00:42+00:00,Merge branch 'master' into module-support,0,6,7
67fc46526234653b0a519e9f1e8a05a2c40c80f8,florentx,2010-05-03 17:38:25+00:00,"Fix typo, remove useless import, limit lines to 79 columns.",2,12,9
720bede150d835be0ffedf4d480482552c90908d,Armin Ronacher,2010-05-03 18:04:38+00:00,Merge branch 'master' into module-support,0,12,9
bc0c0559e384dc88441775a3907487f4a2b515b4,Armin Ronacher,2010-05-04 09:23:01+00:00,Added OpenID example,9,390,0
a921aef6c47cecbacef5173f03c07c52e6bc8fea,Armin Ronacher,2010-05-04 09:41:54+00:00,Fixed late binding of url_prefix.  This fixes #29.,2,10,1
